Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	0.271324258	0.296835067	54849.3	64971.8	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
2	Spectrogram 1	1	0.286156124	0.295450759	77919.0	88041.4	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
3	Spectrogram 1	1	1.162617765	1.181800311	49670.4	60028.2	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
4	Spectrogram 1	1	1.176856355	1.187337540	74387.9	85216.6	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
5	Spectrogram 1	1	1.772094891	1.776643330	72740.1	81450.1	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
6	Spectrogram 1	1	2.328981788	2.345395719	52495.3	68502.8	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
7	Spectrogram 1	1	2.341440555	2.349153125	80743.9	88276.8	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
8	Spectrogram 1	1	4.044928579	4.057980621	54143.1	64736.3	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
9	Spectrogram 1	1	4.055212006	4.067275257	69679.8	88983.1	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	6
10	Spectrogram 1	1	4.736488709	4.781379822	45433.1	61911.5	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
11	Spectrogram 1	1	4.763977100	4.773865010	76035.8	88276.8	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
12	Spectrogram 1	1	4.782368613	4.787114810	72975.5	87570.6	742-B5-A30_0040.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0040.flac	4
