Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
1	Spectrogram 1	1	0.944836455	0.960574325	63844.1	75268.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
2	Spectrogram 1	1	1.260155925	1.274207594	60931.9	76388.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
3	Spectrogram 1	1	1.269148993	1.276455862	88037.6	94310.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
4	Spectrogram 1	1	0.952986424	0.960855359	77509.0	85797.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
5	Spectrogram 1	1	2.079930897	2.101851502	63172.0	74372.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
6	Spectrogram 1	1	2.097636001	2.116465239	65188.2	88485.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	6
7	Spectrogram 1	1	2.487710540	2.509912178	54659.5	65860.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
8	Spectrogram 1	1	2.502886344	2.509631145	77509.0	87141.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
9	Spectrogram 1	1	6.362320009	6.383116481	51971.3	61155.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
10	Spectrogram 1	1	8.432693724	8.449555728	54435.5	69668.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	6
11	Spectrogram 1	1	8.448431594	8.454614329	70116.5	77284.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
12	Spectrogram 1	1	8.648527372	8.681970346	57795.7	68772.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
13	Spectrogram 1	1	9.051248413	9.061646649	61828.0	68548.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
14	Spectrogram 1	1	17.190541891	17.206560794	60707.9	73924.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
15	Spectrogram 1	1	17.199534959	17.208246995	76164.9	98342.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	6
16	Spectrogram 1	1	27.251259920	27.272899492	54659.5	60259.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
17	Spectrogram 1	1	29.079102054	29.092591657	54211.5	68324.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
18	Spectrogram 1	1	29.089781323	29.102708860	77733.0	92741.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
19	Spectrogram 1	1	29.301961723	29.324163361	61603.9	75044.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
20	Spectrogram 1	1	39.842123523	39.869383763	64068.1	85349.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	6
21	Spectrogram 1	1	40.625645002	40.637729438	60259.9	66980.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
22	Spectrogram 1	1	48.613460867	48.619924635	60259.9	64740.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
23	Spectrogram 1	1	48.625826337	48.634538372	59363.8	65188.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
24	Spectrogram 1	1	48.617395335	48.623016003	76836.9	85349.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
25	Spectrogram 1	1	68.568808743	68.578925946	58915.8	69668.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
26	Spectrogram 1	1	69.356826756	69.368630159	76836.9	89605.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
27	Spectrogram 1	1	69.478795250	69.491160719	60707.9	72804.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
28	Spectrogram 1	1	98.444639836	98.458691506	59811.8	68324.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
29	Spectrogram 1	1	116.901516292	116.919783462	57347.7	85573.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	6
30	Spectrogram 1	1	116.913600728	116.927090331	43010.8	55107.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
31	Spectrogram 1	1	121.279175911	121.313180952	59139.8	64292.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
32	Spectrogram 1	1	128.741459567	128.766752572	59139.8	65412.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
33	Spectrogram 1	1	139.915633318	139.931652222	58915.8	66756.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
34	Spectrogram 1	1	142.495521190	142.509010793	58915.8	66308.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
35	Spectrogram 1	1	143.420402227	143.432486663	62724.0	70340.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
36	Spectrogram 1	1	143.437264231	143.447100400	64516.1	69892.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	1
37	Spectrogram 1	1	153.425196314	153.450770353	56899.6	67652.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
38	Spectrogram 1	1	153.444306585	153.454704820	74596.8	89605.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0060.flac	742-B5-A30_0060.flac	4
