Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	subtipos
1	Spectrogram 1	1	4.706975722	4.720342512	32930.1	47043.0	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	6
2	Spectrogram 1	1	21.686531228	21.695856896	36290.3	40770.6	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	4
3	Spectrogram 1	1	22.028472411	22.042150057	34050.2	44354.8	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	4
4	Spectrogram 1	1	27.079876192	27.098838383	29345.9	43234.8	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	6
5	Spectrogram 1	1	32.431877363	32.454880676	36962.4	47491.0	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	4
6	Spectrogram 1	1	50.370422433	50.384410935	30465.9	46371.0	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	4
7	Spectrogram 1	1	78.929349659	78.944892438	38082.4	64516.1	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	6
8	Spectrogram 1	1	81.764042024	81.778030525	33154.1	47043.0	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	4
9	Spectrogram 1	1	87.815157484	87.827591707	31138.0	42786.7	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	4
10	Spectrogram 1	1	241.040242325	241.051433126	23073.5	29345.9	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	4
11	Spectrogram 1	1	240.873623728	240.888233940	36290.3	42786.7	742-B5-A30_0068.flac	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0068.flac	4
