Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
1	Spectrogram 1	1	0.004992000	0.039104000	57571.7	87813.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
2	Spectrogram 1	1	0.469250446	0.484226446	62948.0	75716.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
3	Spectrogram 1	1	0.480343780	0.498093113	74820.8	98342.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
4	Spectrogram 1	1	0.595714446	0.606807779	58691.8	71908.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
5	Spectrogram 1	1	0.602647779	0.633709112	60483.9	96998.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
6	Spectrogram 1	1	2.967470390	2.979950390	76164.9	85125.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
7	Spectrogram 1	1	3.299438572	3.309977239	83781.4	89381.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
8	Spectrogram 1	1	3.306094572	3.312750572	67652.3	81765.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
9	Spectrogram 1	1	7.097242222	7.126916889	58691.8	70116.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
10	Spectrogram 1	1	7.108890222	7.127471555	76388.9	87589.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
11	Spectrogram 1	1	7.127194222	7.142447555	62724.0	79077.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
12	Spectrogram 1	1	7.229253072	7.288602405	54211.5	62052.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
13	Spectrogram 1	1	7.960581437	7.973061437	78181.0	87813.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
14	Spectrogram 1	1	7.976112103	7.988314770	61603.9	88709.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
15	Spectrogram 1	1	7.951984104	7.968901437	59139.8	68324.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
16	Spectrogram 1	1	8.204912102	8.239024102	78405.0	90949.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
17	Spectrogram 1	1	8.213786769	8.235696102	59139.8	74148.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
18	Spectrogram 1	1	8.328880286	8.396826952	57347.7	67876.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
19	Spectrogram 1	1	11.352092595	11.369564595	61603.9	74148.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
20	Spectrogram 1	1	15.119112245	15.148232245	57123.7	92517.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
21	Spectrogram 1	1	15.381747094	15.399219094	74820.8	90277.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
22	Spectrogram 1	1	18.257140133	18.280436133	62948.0	78629.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
23	Spectrogram 1	1	18.994569831	19.020084498	64068.1	85797.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
24	Spectrogram 1	1	19.021471165	19.030623165	65412.2	85349.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
25	Spectrogram 1	1	19.136287164	19.145161831	61379.9	66980.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	1
26	Spectrogram 1	1	22.625974506	22.639841172	73028.7	80197.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
27	Spectrogram 1	1	23.588321116	23.617995783	62276.0	86021.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
28	Spectrogram 1	1	24.199841481	24.227020148	58467.7	72580.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
29	Spectrogram 1	1	24.206220148	24.225633481	79525.1	92069.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
30	Spectrogram 1	1	30.439012765	30.477007432	66084.2	77733.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
31	Spectrogram 1	1	30.485327432	30.508623432	65412.2	82885.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
32	Spectrogram 1	1	32.002341494	32.036176161	60707.9	71236.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
33	Spectrogram 1	1	32.026469494	32.035898828	83109.3	91621.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
34	Spectrogram 1	1	31.881701495	31.900837495	62276.0	90949.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
35	Spectrogram 1	1	32.224485677	32.243344344	62948.0	73476.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
36	Spectrogram 1	1	32.241680344	32.250555011	71684.6	94086.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
